Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
HINDZINC,Hindustan Zinc Limited,Large Cap,Metals & Mining,INE267A01025,21-NOV-2006,Nifty 100
HYUNDAI,Hyundai Motor India Limited,Large Cap,Automobile and Auto Components,INE0V6F01027,22-OCT-2024,Nifty 100
ICICIBANK,ICICI Bank Limited,Large Cap,Financial Services,INE090A01021,17-SEP-1997,Nifty 100
ITC,ITC Limited,Large Cap,Fast Moving Consumer Goods,INE154A01025,23-AUG-1995,Nifty 100
INDHOTEL,The Indian Hotels Company Limited,Large Cap,Consumer Services,INE053A01029,03-JUL-1996,Nifty 100
IOC,Indian Oil Corporation Limited,Large Cap,Oil Gas & Consumable Fuels,INE242A01010,24-JUL-1996,Nifty 100
IRFC,Indian Railway Finance Corporation Limited,Large Cap,Financial Services,INE053F01010,29-JAN-2021,Nifty 100
INFY,Infosys Limited,Large Cap,Information Technology,INE009A01021,08-FEB-1995,Nifty 100
INDIGO,InterGlobe Aviation Limited,Large Cap,Services,INE646L01027,10-NOV-2015,Nifty 100
JSWSTEEL,JSW Steel Limited,Large Cap,Metals & Mining,INE019A01038,23-MAR-2005,Nifty 100
JINDALSTEL,JINDAL STEEL LIMITED,Large Cap,Metals & Mining,INE749A01030,29-DEC-1999,Nifty 100
JIOFIN,Jio Financial Services Limited,Large Cap,Financial Services,INE758E01017,21-AUG-2023,Nifty 100
KOTAKBANK,Kotak Mahindra Bank Limited,Large Cap,Financial Services,INE237A01036,20-DEC-1995,Nifty 100
LTM,LTM Limited,Large Cap,Information Technology,INE214T01019,21-JUL-2016,Nifty 100
LT,Larsen & Toubro Limited,Large Cap,Construction,INE018A01030,23-JUN-2004,Nifty 100
LODHA,Lodha Developers Limited,Large Cap,Realty,INE670K01029,19-APR-2021,Nifty 100
M&M,Mahindra & Mahindra Limited,Large Cap,Automobile and Auto Components,INE101A01026,03-JAN-1996,Nifty 100
MARUTI,Maruti Suzuki India Limited,Large Cap,Automobile and Auto Components,INE585B01010,09-JUL-2003,Nifty 100
MAXHEALTH,Max Healthcare Institute Limited,Large Cap,Healthcare,INE027H01010,21-AUG-2020,Nifty 100
MAZDOCK,Mazagon Dock Shipbuilders Limited,Large Cap,Capital Goods,INE249Z01020,12-OCT-2020,Nifty 100
MUTHOOTFIN,Muthoot Finance Limited,Large Cap,Financial Services,INE414G01012,06-MAY-2011,Nifty 100
NTPC,NTPC Limited,Large Cap,Power,INE733E01010,05-NOV-2004,Nifty 100
NESTLEIND,Nestle India Limited,Large Cap,Fast Moving Consumer Goods,INE239A01024,01-AUG-2023,Nifty 100
ONGC,Oil & Natural Gas Corporation Limited,Large Cap,Oil Gas & Consumable Fuels,INE213A01029,19-JUL-1995,Nifty 100
PIDILITIND,Pidilite Industries Limited,Large Cap,Chemicals,INE318A01026,29-MAR-1995,Nifty 100
PFC,Power Finance Corporation Limited,Large Cap,Financial Services,INE134E01011,23-FEB-2007,Nifty 100
POWERGRID,Power Grid Corporation of India Limited,Large Cap,Power,INE752E01010,05-OCT-2007,Nifty 100
PNB,Punjab National Bank,Large Cap,Financial Services,INE160A01022,24-APR-2002,Nifty 100
RECLTD,REC Limited,Large Cap,Financial Services,INE020B01018,12-MAR-2008,Nifty 100
RELIANCE,Reliance Industries Limited,Large Cap,Oil Gas & Consumable Fuels,INE002A01018,29-NOV-1995,Nifty 100
SBILIFE,SBI Life Insurance Company Limited,Large Cap,Financial Services,INE123W01016,03-OCT-2017,Nifty 100
MOTHERSON,Samvardhana Motherson International Limited,Large Cap,Automobile and Auto Components,INE775A01035,14-AUG-1996,Nifty 100
SHREECEM,SHREE CEMENT LIMITED,Large Cap,Construction Materials,INE070A01015,26-APR-1995,Nifty 100
SHRIRAMFIN,Shriram Finance Limited,Large Cap,Financial Services,INE721A01047,11-DEC-1996,Nifty 100
ENRIN,Siemens Energy India Limited,Large Cap,Capital Goods,INE1NPP01017,19-JUN-2025,Nifty 100
SIEMENS,Siemens Limited,Large Cap,Capital Goods,INE003A01024,06-SEP-1995,Nifty 100
SOLARINDS,Solar Industries India Limited,Large Cap,Chemicals,INE343H01029,03-APR-2006,Nifty 100
SBIN,State Bank of India,Large Cap,Financial Services,INE062A01020,01-MAR-1995,Nifty 100
SUNPHARMA,Sun Pharmaceutical Industries Limited,Large Cap,Healthcare,INE044A01036,08-FEB-1995,Nifty 100
TVSMOTOR,TVS Motor Company Limited,Large Cap,Automobile and Auto Components,INE494B01023,02-AUG-2000,Nifty 100
TATACAP,Tata Capital Limited,Large Cap,Financial Services,INE976I01016,13-OCT-2025,Nifty 100
TCS,Tata Consultancy Services Limited,Large Cap,Information Technology,INE467B01029,25-AUG-2004,Nifty 100
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Large Cap,Fast Moving Consumer Goods,INE192A01025,18-NOV-1998,Nifty 100
TMCV,Tata Motors Limited,Large Cap,Capital Goods,INE1TAE01010,12-NOV-2025,Nifty 100
TMPV,Tata Motors Passenger Vehicles Limited,Large Cap,Automobile and Auto Components,INE155A01022,22-JUL-1998,Nifty 100
TATAPOWER,Tata Power Company Limited,Large Cap,Power,INE245A01021,03-APR-1996,Nifty 100
TATASTEEL,Tata Steel Limited,Large Cap,Metals & Mining,INE081A01020,18-NOV-1998,Nifty 100
TECHM,Tech Mahindra Limited,Large Cap,Information Technology,INE669C01036,28-AUG-2006,Nifty 100
TITAN,Titan Company Limited,Large Cap,Consumer Durables,INE280A01028,24-SEP-2004,Nifty 100
TORNTPHARM,Torrent Pharmaceuticals Limited,Large Cap,Healthcare,INE685A01028,25-NOV-2002,Nifty 100
TRENT,Trent Limited,Large Cap,Consumer Services,INE849A01020,07-JUN-2004,Nifty 100
ULTRACEMCO,UltraTech Cement Limited,Large Cap,Construction Materials,INE481G01011,24-AUG-2004,Nifty 100
UNIONBANK,Union Bank of India,Large Cap,Financial Services,INE692A01016,24-SEP-2002,Nifty 100
UNITDSPR,United Spirits Limited,Large Cap,Fast Moving Consumer Goods,INE854D01024,27-SEP-2001,Nifty 100
VBL,Varun Beverages Limited,Large Cap,Fast Moving Consumer Goods,INE200M01039,08-NOV-2016,Nifty 100
VEDL,Vedanta Limited,Large Cap,Metals & Mining,INE205A01025,13-MAY-1998,Nifty 100
WIPRO,Wipro Limited,Large Cap,Information Technology,INE075A01022,08-NOV-1995,Nifty 100
360ONE,360 ONE WAM LIMITED,Mid Cap,Financial Services,INE466L01038,19-SEP-2019,Nifty Midcap 150
3MINDIA,3M India Limited,Mid Cap,Diversified,INE470A01017,13-AUG-2004,Nifty Midcap 150
ACC,ACC Limited,Mid Cap,Construction Materials,INE012A01025,20-NOV-1996,Nifty Midcap 150
AIAENG,AIA Engineering Limited,Mid Cap,Capital Goods,INE212H01026,14-DEC-2005,Nifty Midcap 150
APLAPOLLO,APL Apollo Tubes Limited,Mid Cap,Capital Goods,INE702C01027,14-DEC-2011,Nifty Midcap 150
AUBANK,AU Small Finance Bank Limited,Mid Cap,Financial Services,INE949L01017,10-JUL-2017,Nifty Midcap 150
AWL,AWL Agri Business Limited,Mid Cap,Fast Moving Consumer Goods,INE699H01024,08-FEB-2022,Nifty Midcap 150
ABBOTINDIA,Abbott India Limited,Mid Cap,Healthcare,INE358A01014,08-JAN-2010,Nifty Midcap 150
ATGL,Adani Total Gas Limited,Mid Cap,Oil Gas & Consumable Fuels,INE399L01023,05-NOV-2018,Nifty Midcap 150
ABCAPITAL,Aditya Birla Capital Limited,Mid Cap,Financial Services,INE674K01013,01-SEP-2017,Nifty Midcap 150
AJANTPHARM,Ajanta Pharma Limited,Mid Cap,Healthcare,INE031B01049,29-MAY-2000,Nifty Midcap 150
ALKEM,Alkem Laboratories Limited,Mid Cap,Healthcare,INE540L01014,23-DEC-2015,Nifty Midcap 150
ANTHEM,Anthem Biosciences Limited,Mid Cap,Healthcare,INE0CZ201020,21-JUL-2025,Nifty Midcap 150
APARINDS,Apar Industries Limited,Mid Cap,Capital Goods,INE372A01015,12-JUL-2004,Nifty Midcap 150
APOLLOTYRE,Apollo Tyres Limited,Mid Cap,Automobile and Auto Components,INE438A01022,31-MAY-1995,Nifty Midcap 150
ASHOKLEY,Ashok Leyland Limited,Mid Cap,Capital Goods,INE208A01029,25-MAY-1995,Nifty Midcap 150
ASTRAL,Astral Limited,Mid Cap,Capital Goods,INE006I01046,20-MAR-2007,Nifty Midcap 150
AUROPHARMA,Aurobindo Pharma Limited,Mid Cap,Healthcare,INE406A01037,19-JUL-2000,Nifty Midcap 150
AIIL,Authum Investment & Infrastructure Limited,Mid Cap,Financial Services,INE206F01022,23-APR-2024,Nifty Midcap 150
BSE,BSE Limited,Mid Cap,Financial Services,INE118H01025,03-FEB-2017,Nifty Midcap 150
BAJAJHFL,Bajaj Housing Finance Limited,Mid Cap,Financial Services,INE377Y01014,16-SEP-2024,Nifty Midcap 150
BALKRISIND,Balkrishna Industries Limited,Mid Cap,Automobile and Auto Components,INE787D01026,27-JAN-2006,Nifty Midcap 150
BANKINDIA,Bank of India,Mid Cap,Financial Services,INE084A01016,30-APR-1997,Nifty Midcap 150
MAHABANK,Bank of Maharashtra,Mid Cap,Financial Services,INE457A01014,12-APR-2004,Nifty Midcap 150
BERGEPAINT,Berger Paints (I) Limited,Mid Cap,Consumer Durables,INE463A01038,24-NOV-1999,Nifty Midcap 150
BDL,Bharat Dynamics Limited,Mid Cap,Capital Goods,INE171Z01026,23-MAR-2018,Nifty Midcap 150
BHARATFORG,Bharat Forge Limited,Mid Cap,Automobile and Auto Components,INE465A01025,04-APR-2003,Nifty Midcap 150
BHEL,Bharat Heavy Electricals Limited,Mid Cap,Capital Goods,INE257A01026,11-NOV-2003,Nifty Midcap 150
BHARTIHEXA,Bharti Hexacom Limited,Mid Cap,Telecommunication,INE343G01021,12-APR-2024,Nifty Midcap 150
GROWW,Billionbrains Garage Ventures Limited,Mid Cap,Financial Services,INE0HOQ01053,12-NOV-2025,Nifty Midcap 150
BIOCON,Biocon Limited,Mid Cap,Healthcare,INE376G01013,07-APR-2004,Nifty Midcap 150
BLUESTARCO,Blue Star Limited,Mid Cap,Consumer Durables,INE472A01039,15-JUN-2000,Nifty Midcap 150
CRISIL,Crisil Limited,Mid Cap,Financial Services,INE007A01025,28-JUN-1995,Nifty Midcap 150
COCHINSHIP,Cochin Shipyard Limited,Mid Cap,Capital Goods,INE704P01025,11-AUG-2017,Nifty Midcap 150
COFORGE,Coforge Limited,Mid Cap,Information Technology,INE591G01025,30-AUG-2004,Nifty Midcap 150
COLPAL,Colgate Palmolive (India) Limited,Mid Cap,Fast Moving Consumer Goods,INE259A01022,17-DEC-2007,Nifty Midcap 150
CONCOR,Container Corporation of India Limited,Mid Cap,Services,INE111A01025,07-MAY-1997,Nifty Midcap 150
COROMANDEL,Coromandel International Limited,Mid Cap,Chemicals,INE169A01031,31-MAY-1995,Nifty Midcap 150
DABUR,Dabur India Limited,Mid Cap,Fast Moving Consumer Goods,INE016A01026,28-APR-1999,Nifty Midcap 150
DALBHARAT,Dalmia Bharat Limited,Mid Cap,Construction Materials,INE00R701025,22-JAN-2019,Nifty Midcap 150
DIXON,Dixon Technologies (India) Limited,Mid Cap,Consumer Durables,INE935N01020,18-SEP-2017,Nifty Midcap 150
ENDURANCE,Endurance Technologies Limited,Mid Cap,Automobile and Auto Components,INE913H01037,19-OCT-2016,Nifty Midcap 150
ESCORTS,Escorts Kubota Limited,Mid Cap,Capital Goods,INE042A01014,01-MAR-1995,Nifty Midcap 150
EXIDEIND,Exide Industries Limited,Mid Cap,Automobile and Auto Components,INE302A01020,17-JUN-2003,Nifty Midcap 150
NYKAA,FSN E-Commerce Ventures Limited,Mid Cap,Consumer Services,INE388Y01029,10-NOV-2021,Nifty Midcap 150
FEDERALBNK,The Federal Bank  Limited,Mid Cap,Financial Services,INE171A01029,08-FEB-1995,Nifty Midcap 150
FORTIS,Fortis Healthcare Limited,Mid Cap,Healthcare,INE061F01013,09-MAY-2007,Nifty Midcap 150
GVT&D,GE Vernova T&D India Limited,Mid Cap,Capital Goods,INE200A01026,30-JUN-2008,Nifty Midcap 150
GMRAIRPORT,GMR AIRPORTS LIMITED,Mid Cap,Services,INE776C01039,21-AUG-2006,Nifty Midcap 150
GICRE,General Insurance Corporation of India,Mid Cap,Financial Services,INE481Y01014,25-OCT-2017,Nifty Midcap 150
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Mid Cap,Healthcare,INE159A01016,15-DEC-2000,Nifty Midcap 150
GLENMARK,Glenmark Pharmaceuticals Limited,Mid Cap,Healthcare,INE935A01035,07-FEB-2000,Nifty Midcap 150
MEDANTA,Global Health Limited,Mid Cap,Healthcare,INE474Q01031,16-NOV-2022,Nifty Midcap 150
GODFRYPHLP,Godfrey Phillips India Limited,Mid Cap,Fast Moving Consumer Goods,INE260B01028,24-JUL-1996,Nifty Midcap 150
GODREJIND,Godrej Industries Limited,Mid Cap,Diversified,INE233A01035,25-FEB-2003,Nifty Midcap 150
GODREJPROP,Godrej Properties Limited,Mid Cap,Realty,INE484J01027,05-JAN-2010,Nifty Midcap 150
FLUOROCHEM,Gujarat Fluorochemicals Limited,Mid Cap,Chemicals,INE09N301011,16-OCT-2019,Nifty Midcap 150
HDBFS,HDB Financial Services Limited,Mid Cap,Financial Services,INE756I01012,02-JUL-2025,Nifty Midcap 150
HAVELLS,Havells India Limited,Mid Cap,Consumer Durables,INE176B01034,21-MAR-2001,Nifty Midcap 150
HEROMOTOCO,Hero MotoCorp Limited,Mid Cap,Automobile and Auto Components,INE158A01026,11-APR-2003,Nifty Midcap 150
HEXT,Hexaware Technologies Limited,Mid Cap,Information Technology,INE093A01041,19-FEB-2025,Nifty Midcap 150
HINDPETRO,Hindustan Petroleum Corporation Limited,Mid Cap,Oil Gas & Consumable Fuels,INE094A01015,17-JUN-1998,Nifty Midcap 150
POWERINDIA,Hitachi Energy India Limited,Mid Cap,Capital Goods,INE07Y701011,30-MAR-2020,Nifty Midcap 150
HONAUT,Honeywell Automation India Limited,Mid Cap,Capital Goods,INE671A01010,18-JUL-2003,Nifty Midcap 150
HUDCO,Housing & Urban Development Corporation Limited,Mid Cap,Financial Services,INE031A01017,19-MAY-2017,Nifty Midcap 150
ICICIGI,ICICI Lombard General Insurance Company Limited,Mid Cap,Financial Services,INE765G01017,27-SEP-2017,Nifty Midcap 150
ICICIAMC,ICICI Prudential Asset Management Company Limited,Mid Cap,Financial Services,INE346A01027,19-DEC-2025,Nifty Midcap 150
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Mid Cap,Financial Services,INE726G01019,29-SEP-2016,Nifty Midcap 150
IDFCFIRSTB,IDFC First Bank Limited,Mid Cap,Financial Services,INE092T01019,06-NOV-2015,Nifty Midcap 150
ITCHOTELS,ITC Hotels Limited,Mid Cap,Consumer Services,INE379A01028,29-JAN-2025,Nifty Midcap 150
INDIANB,Indian Bank,Mid Cap,Financial Services,INE562A01011,01-MAR-2007,Nifty Midcap 150
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Mid Cap,Consumer Services,INE335Y01020,14-OCT-2019,Nifty Midcap 150
IREDA,Indian Renewable Energy Development Agency Limited,Mid Cap,Financial Services,INE202E01016,29-NOV-2023,Nifty Midcap 150
INDUSTOWER,Indus Towers Limited,Mid Cap,Telecommunication,INE121J01017,28-DEC-2012,Nifty Midcap 150
INDUSINDBK,IndusInd Bank Limited,Mid Cap,Financial Services,INE095A01012,28-JAN-1998,Nifty Midcap 150
NAUKRI,Info Edge (India) Limited,Mid Cap,Consumer Services,INE663F01032,21-NOV-2006,Nifty Midcap 150
IPCALAB,IPCA Laboratories Limited,Mid Cap,Healthcare,INE571A01038,08-FEB-1995,Nifty Midcap 150
JKCEMENT,JK Cement Limited,Mid Cap,Construction Materials,INE823G01014,14-MAR-2006,Nifty Midcap 150
JSWENERGY,JSW Energy Limited,Mid Cap,Power,INE121E01018,04-JAN-2010,Nifty Midcap 150
JSWINFRA,JSW Infrastructure Limited,Mid Cap,Services,INE880J01026,03-OCT-2023,Nifty Midcap 150
JSL,Jindal Stainless Limited,Mid Cap,Metals & Mining,INE220G01021,17-NOV-2003,Nifty Midcap 150
JUBLFOOD,Jubilant Foodworks Limited,Mid Cap,Consumer Services,INE797F01020,08-FEB-2010,Nifty Midcap 150
KPRMILL,K.P.R. Mill Limited,Mid Cap,Textiles,INE930H01031,28-AUG-2007,Nifty Midcap 150
KEI,KEI Industries Limited,Mid Cap,Capital Goods,INE878B01027,23-MAR-2006,Nifty Midcap 150
KPITTECH,KPIT Technologies Limited,Mid Cap,Information Technology,INE04I401011,22-APR-2019,Nifty Midcap 150
KALYANKJIL,Kalyan Jewellers India Limited,Mid Cap,Consumer Durables,INE303R01014,26-MAR-2021,Nifty Midcap 150
LTF,L&T Finance Limited,Mid Cap,Financial Services,INE498L01015,12-AUG-2011,Nifty Midcap 150
LTTS,L&T Technology Services Limited,Mid Cap,Information Technology,INE010V01017,23-SEP-2016,Nifty Midcap 150
LGEINDIA,LG Electronics India Limited,Mid Cap,Consumer Durables,INE324D01010,14-OCT-2025,Nifty Midcap 150
LICHSGFIN,LIC Housing Finance Limited,Mid Cap,Financial Services,INE115A01026,29-JUL-1998,Nifty Midcap 150
LAURUSLABS,Laurus Labs Limited,Mid Cap,Healthcare,INE947Q01028,19-DEC-2016,Nifty Midcap 150
LENSKART,Lenskart Solutions Limited,Mid Cap,Consumer Services,INE956O01016,10-NOV-2025,Nifty Midcap 150
LICI,Life Insurance Corporation Of India,Mid Cap,Financial Services,INE0J1Y01017,17-MAY-2022,Nifty Midcap 150
LINDEINDIA,Linde India Limited,Mid Cap,Chemicals,INE473A01011,16-JUN-1999,Nifty Midcap 150
LLOYDSME,Lloyds Metals And Energy Limited,Mid Cap,Metals & Mining,INE281B01032,17-JUL-2023,Nifty Midcap 150
LUPIN,Lupin Limited,Mid Cap,Healthcare,INE326A01037,10-SEP-2001,Nifty Midcap 150
MRF,MRF Limited,Mid Cap,Automobile and Auto Components,INE883A01011,18-SEP-1996,Nifty Midcap 150
M&MFIN,Mahindra & Mahindra Financial Services Limited,Mid Cap,Financial Services,INE774D01024,17-MAR-2006,Nifty Midcap 150
MANKIND,Mankind Pharma Limited,Mid Cap,Healthcare,INE634S01028,09-MAY-2023,Nifty Midcap 150
MARICO,Marico Limited,Mid Cap,Fast Moving Consumer Goods,INE196A01026,01-MAY-1996,Nifty Midcap 150
MFSL,Max Financial Services Limited,Mid Cap,Financial Services,INE180A01020,17-MAY-2000,Nifty Midcap 150
MOTILALOFS,Motilal Oswal Financial Services Limited,Mid Cap,Financial Services,INE338I01027,11-SEP-2007,Nifty Midcap 150
MPHASIS,MphasiS Limited,Mid Cap,Information Technology,INE356A01018,04-JUN-2004,Nifty Midcap 150
MCX,Multi Commodity Exchange of India Limited,Mid Cap,Financial Services,INE745G01043,09-MAR-2012,Nifty Midcap 150
NHPC,NHPC Limited,Mid Cap,Power,INE848E01016,01-SEP-2009,Nifty Midcap 150
NLCINDIA,NLC India Limited,Mid Cap,Power,INE589A01014,23-AUG-2000,Nifty Midcap 150
NMDC,NMDC Limited,Mid Cap,Metals & Mining,INE584A01023,03-MAR-2008,Nifty Midcap 150
NTPCGREEN,NTPC Green Energy Limited,Mid Cap,Power,INE0ONG01011,27-NOV-2024,Nifty Midcap 150
NATIONALUM,National Aluminium Company Limited,Mid Cap,Metals & Mining,INE139A01034,28-APR-1999,Nifty Midcap 150
NAM-INDIA,Nippon Life India Asset Management Limited,Mid Cap,Financial Services,INE298J01013,06-NOV-2017,Nifty Midcap 150
OBEROIRLTY,Oberoi Realty Limited,Mid Cap,Realty,INE093I01010,20-OCT-2010,Nifty Midcap 150
OIL,Oil India Limited,Mid Cap,Oil Gas & Consumable Fuels,INE274J01014,30-SEP-2009,Nifty Midcap 150
PAYTM,One 97 Communications Limited,Mid Cap,Financial Services,INE982J01020,18-NOV-2021,Nifty Midcap 150
OFSS,Oracle Financial Services Software Limited,Mid Cap,Information Technology,INE881D01027,28-JUN-2002,Nifty Midcap 150
POLICYBZR,PB Fintech Limited,Mid Cap,Financial Services,INE417T01026,15-NOV-2021,Nifty Midcap 150
PIIND,PI Industries Limited,Mid Cap,Chemicals,INE603J01030,15-JUN-2011,Nifty Midcap 150
PAGEIND,Page Industries Limited,Mid Cap,Textiles,INE761H01022,16-MAR-2007,Nifty Midcap 150
PATANJALI,Patanjali Foods Limited,Mid Cap,Fast Moving Consumer Goods,INE619A01035,24-JAN-2020,Nifty Midcap 150
PERSISTENT,Persistent Systems Limited,Mid Cap,Information Technology,INE262H01021,06-APR-2010,Nifty Midcap 150
PETRONET,Petronet LNG Limited,Mid Cap,Oil Gas & Consumable Fuels,INE347G01014,26-MAR-2004,Nifty Midcap 150
PHOENIXLTD,The Phoenix Mills Limited,Mid Cap,Realty,INE211B01039,23-APR-2007,Nifty Midcap 150
POLYCAB,Polycab India Limited,Mid Cap,Capital Goods,INE455K01017,16-APR-2019,Nifty Midcap 150
PREMIERENE,Premier Energies Limited,Mid Cap,Capital Goods,INE0BS701011,03-SEP-2024,Nifty Midcap 150
PRESTIGE,Prestige Estates Projects Limited,Mid Cap,Realty,INE811K01011,27-OCT-2010,Nifty Midcap 150
RADICO,Radico Khaitan Limited,Mid Cap,Fast Moving Consumer Goods,INE944F01028,18-JUN-2003,Nifty Midcap 150
RVNL,Rail Vikas Nigam Limited,Mid Cap,Construction,INE415G01027,11-APR-2019,Nifty Midcap 150
SBICARD,SBI Cards and Payment Services Limited,Mid Cap,Financial Services,INE018E01016,16-MAR-2020,Nifty Midcap 150
SJVN,SJVN Limited,Mid Cap,Power,INE002L01015,20-MAY-2010,Nifty Midcap 150
SRF,SRF Limited,Mid Cap,Chemicals,INE647A01010,18-AUG-2003,Nifty Midcap 150
SCHAEFFLER,Schaeffler India Limited,Mid Cap,Automobile and Auto Components,INE513A01022,29-NOV-2000,Nifty Midcap 150
SAIL,Steel Authority of India Limited,Mid Cap,Metals & Mining,INE114A01011,06-JUL-1995,Nifty Midcap 150
SUNDARMFIN,Sundaram Finance Limited,Mid Cap,Financial Services,INE660A01013,07-JAN-1998,Nifty Midcap 150
SUPREMEIND,Supreme Industries Limited,Mid Cap,Capital Goods,INE195A01028,19-JUL-1995,Nifty Midcap 150
SUZLON,Suzlon Energy Limited,Mid Cap,Capital Goods,INE040H01021,19-OCT-2005,Nifty Midcap 150
SWIGGY,Swiggy Limited,Mid Cap,Consumer Services,INE00H001014,13-NOV-2024,Nifty Midcap 150
TATACOMM,Tata Communications Limited,Mid Cap,Telecommunication,INE151A01013,12-APR-1995,Nifty Midcap 150
TATAELXSI,Tata Elxsi Limited,Mid Cap,Information Technology,INE670A01012,17-SEP-2003,Nifty Midcap 150
TATAINVEST,Tata Investment Corporation Limited,Mid Cap,Financial Services,INE672A01026,24-JUN-1998,Nifty Midcap 150
